error_rate,key_length,mismatch,noise,stability,label
0.43636363636363634,55,24.0,0.19041322314049586,0.5636363636363637,1
0.3076923076923077,52,16.0,0.09467455621301776,0.6923076923076923,0
0.34,50,17.0,0.11560000000000002,0.6599999999999999,1
0.3148148148148148,54,17.0,0.09910836762688616,0.6851851851851851,0
0.3620689655172414,58,21.0,0.13109393579072534,0.6379310344827587,1
0.2,55,11.0,0.04000000000000001,0.8,1
0.40425531914893614,47,19.0,0.16342236306020821,0.5957446808510638,1
0.24489795918367346,49,12.0,0.059975010412328195,0.7551020408163265,0
0.21052631578947367,57,12.0,0.04432132963988919,0.7894736842105263,0
0.39215686274509803,51,20.0,0.15378700499807765,0.607843137254902,1
0.37735849056603776,53,20.0,0.1423994304022784,0.6226415094339622,1
0.27450980392156865,51,14.000000000000002,0.07535563244905807,0.7254901960784313,0
0.2549019607843137,51,13.0,0.0649750096116878,0.7450980392156863,0
0.2564102564102564,39,10.0,0.06574621959237342,0.7435897435897436,0
0.2916666666666667,48,14.0,0.08506944444444446,0.7083333333333333,0
0.2708333333333333,48,13.0,0.07335069444444443,0.7291666666666667,0
0.23255813953488372,43,10.0,0.05408328826392644,0.7674418604651163,0
0.2916666666666667,48,14.0,0.08506944444444446,0.7083333333333333,0
0.25,44,11.0,0.0625,0.75,1
0.28,50,14.000000000000002,0.07840000000000001,0.72,0
0.27450980392156865,51,14.000000000000002,0.07535563244905807,0.7254901960784313,1
0.19148936170212766,47,9.0,0.03666817564508827,0.8085106382978724,0
0.21568627450980393,51,11.0,0.0465205690119185,0.7843137254901961,0
0.29411764705882354,51,15.0,0.08650519031141869,0.7058823529411764,0
0.2857142857142857,49,14.0,0.08163265306122448,0.7142857142857143,0
0.5217391304347826,46,24.0,0.2722117202268431,0.4782608695652174,1
0.26,50,13.0,0.06760000000000001,0.74,0
0.22,50,11.0,0.0484,0.78,0
0.391304347826087,46,18.0,0.15311909262759926,0.6086956521739131,1
0.23636363636363636,55,13.0,0.05586776859504132,0.7636363636363637,0
0.16666666666666666,42,7.0,0.027777777777777776,0.8333333333333334,0
